Park Type,Wind farm,Turbine Platform,Turbine,Component Failed,Outage cause,Material number,Failed Component Serial number,New Component Serial number,Failure Mode,Component Commisioning Date,Turbine Stopp Date,Jackup Call-off Date,Component Exchange Date,Turbine start date,Estimated Lost Production,Estimated Lost Revenue,Work Order,Main Component Cost,Jackup Cost,Other Project Cost,Jackup vessel,Alarm code 1,Alarm code 2,Alarm code 3,Alarm code 4,Alarm code 5,Alarm code 6,Alarm code 7,Alarm code 8,Alarm code 9,Alarm code 10,Alarm code 11,Alarm code 12,Alarm code 13,Alarm code 14,Alarm code 15,Alarm code 16,Alarm code 17,Alarm code 18,Alarm code 19,Alarm code 20
Offshore,Egmond aan Zee,V90-3MW,NEZ020,Gearbox,,,EF901D-003L/LM0321,EF901E-013L/LM237,Serial Defect,,2009-07-13,,2009-08-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Horns Rev 1,V80-2MW,WH1101,Gearbox,,"40074658, 40085066",,793000000047,,,,,2009-08-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Horns Rev 1,V80-2MW,WH1105,Gearbox,,"40074658, 40085066",,793000000046,,,,,2009-08-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Horns Rev 1,V80-2MW,WH1111,Gearbox,,"40074658, 40085066",,72802012789,,,,,2009-08-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Horns Rev 1,V80-2MW,WH1221,Gearbox,,"40074658, 40085066",,72802011838,,,,,2009-08-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Horns Rev 1,V80-2MW,WH1222,Gearbox,,"40074658, 40085066",,72802011837,,,,,2009-08-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Horns Rev 1,V80-2MW,WH1227,Gearbox,,"40074658, 40085066",,72802017782,,,,,2009-08-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Horns Rev 1,V80-2MW,WH1231,Gearbox,,"40074658, 40085066",,793000000048,,,,,2009-08-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Horns Rev 1,V80-2MW,WH1233,Gearbox,,"40074658, 40085066",,72802017780,,,,,2009-08-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Horns Rev 1,V80-2MW,WH1238,Gearbox,,"40074658, 40085066",,72802018369,,,,,2009-08-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Horns Rev 1,V80-2MW,WH1341,Gearbox,,"40074658, 40085066",,72802017781,,,,,2009-08-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Horns Rev 1,V80-2MW,WH1342,Gearbox,,"40074658, 40085066",,72802013664,,,,,2009-08-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Horns Rev 1,V80-2MW,WH1461,Gearbox,,"40074658, 40085066",,72802009674,,,,,2009-08-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Horns Rev 1,V80-2MW,WH1468,Gearbox,,"40074658, 40085066",,72802016021,,,,,2009-08-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Horns Rev 1,V80-2MW,WH1471,Gearbox,,"40074658, 40085066",,72802016023,,,,,2009-08-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Horns Rev 1,V80-2MW,WH1478,Gearbox,,"40074658, 40085066",,72802012788,,,,,2009-08-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Horns Rev 1,V80-2MW,WH1586,Gearbox,,"40074658, 40085066",,72802016022,,,,,2009-08-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ019,Gearbox,,,EF901D-003L/LM0003,EF901E-013L/LM0229,Serial Defect,,2009-07-21,,2009-08-03,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
